bag,ptop,age,dd,d18o,deutex
13,6.6,42.5,-390.9,-50.12,10.1
14,7.15,51.15,-385.1,-49.16,8.2
15,7.7,60.08,-377.8,-48.14,7.3
16,8.25,69.36,-394.1,-50.35,8.7
17,8.8,78.58,-398.7,-50.94,8.8
18,9.35,87.77,-395.9,-50.60,8.9
19,9.9,97.06,-395.9,-50.52,8.3
20,10.45,106.43,-399.3,-51.07,9.3
21,11,116.11,-391.4,-49.97,8.4
22,11.55,125.83,-399.5,-50.89,7.6
23,12.1,135.47,-402.9,-51.60,9.9
24,12.65,145.35,-393.9,-50.45,9.7
25,13.2,155.61,-398.6,-50.81,7.9
26,13.75,165.93,-389.8,-49.98,10.0
27,14.3,176.29,-394.5,-50.62,10.5
28,14.85,186.69,-400.5,-51.07,8.1
29,15.4,197.1,-403.6,-51.72,10.2
30,15.95,207.53,-393.1,-50.11,7.8
31,16.5,218.05,-410.9,-52.51,9.2
32,17.05,228.94,-393.6,-50.22,8.2
33,17.6,239.97,-391.1,-49.92,8.3
34,18.15,251.22,-391.9,-49.86,7.0
35,18.7,262.57,-396.3,-50.44,7.2
36,19.25,274.02,-397,-50.70,8.6
37,19.8,285.58,-404.7,-51.70,8.9
38,20.35,297.21,-398.2,-50.98,9.6
39,20.9,309.07,-395.2,-50.72,10.6
40,21.45,321.01,-403.5,-51.68,9.9
41,22,333.03,-398.6,-51.17,10.8
42,22.55,345.1,-399.7,-51.26,10.4
43,23.1,357.25,-396,-50.64,9.1
44,23.65,369.47,-400.2,-51.50,11.8
45,24.2,381.79,-401.6,-51.56,10.9
46,24.75,394.22,-405.4,-51.89,9.7
47,25.3,406.75,-399,-51.00,9.0
48,25.85,419.28,-396.9,-50.55,7.5
49,26.4,431.81,-394.9,-50.58,9.7
50,26.95,444.41,-406.6,-51.93,8.8
51,27.5,457.05,-395.2,-50.50,8.8
52,28.05,469.8,-395.3,-50.49,8.6
53,28.6,482.6,-399.5,-51.06,9.0
54,29.15,495.46,-401,-51.24,8.9
55,29.7,508.31,-393.6,-50.23,8.2
56,30.25,521.13,-410.4,-52.52,9.8
57,30.8,534.03,-401.3,-51.03,6.9
58,31.35,546.96,-398.3,-50.94,9.2
59,31.9,559.81,-388.5,-49.54,7.8
60,32.45,572.64,-391.9,-50.14,9.2
