age,depth,d18o,error
20,7.35,-35.16,1
40,14.15,-35.82,1
60,20.4,-35.11,1
80,26.1,-34.65,1
100,31.53,-34.53,1
120,36.83,-35.29,1
140,42.05,-35.02,1
160,46.95,-35.02,1
180,51.75,-35.78,1
200,56.33,-35.16,1
220,60.83,-35.61,1
240,65.13,-35.12,1
260,69.35,-35.79,1
280,73.6,-35.82,1
300,77.6,-35.36,1
320,81.75,-36.05,1
340,85.65,-35.39,1
360,89.55,-36.14,1
380,93.48,-35.33,1
400,97.43,-35.35,1
420,101.4,-35.72,1
440,105.28,-35.03,1
460,109.1,-35.61,1
480,112.88,-35.82,1
500,116.7,-34.93,1
520,120.43,-35.07,1
540,124.05,-35.87,1
560,128.18,-35.13,1
580,131.88,-34.98,1
600,135.73,-35.05,1
620,139.4,-35.53,1
640,143.18,-34.86,1
660,146.93,-35.25,1
680,150.7,-36.43,1
700,154.33,-35.07,1
720,157.73,-35.2,1
740,161.38,-35.49,1
760,165.13,-35.67,1
780,168.63,-35.4,1
800,172,-35.15,1
820,175.6,-35.8,1
840,179.23,-35.34,1
860,182.83,-35.62,1
880,186.55,-35.37,1
900,190.18,-35.59,1
920,193.98,-35.14,1
940,197.35,-35.45,1
960,200.75,-35.61,1
980,204.3,-35.92,1
1000,207.85,-34.96,1
1020,211.48,-35.24,1
1040,215.08,-35.02,1
1060,218.68,-35,1
1080,222.2,-34.98,1
1100,225.8,-35.41,1
1120,229.38,-35.73,1
1140,232.98,-35.35,1
1160,236.38,-35.75,1
1180,239.98,-35.45,1
1200,243.35,-35.34,1
1220,247,-35.38,1
1240,250.6,-35.27,1
1260,254.2,-35.15,1
1280,257.73,-35.33,1
1300,261.18,-35.33,2
1320,264.53,-35.27,2
1340,268.1,-35.14,2
1360,271.55,-34.69,2
1380,274.98,-35.44,2
1400,278.7,-35.26,2
1420,282.23,-35.14,2
1440,285.55,-35.28,2
1460,289.23,-34.43,2
1480,292.7,-35.78,2
1500,296.25,-35.33,2
1520,299.7,-35.83,2
1540,303.28,-35.39,1
1560,306.7,-35.35,1
1580,310.13,-35.74,1
1600,313.55,-34.46,1
1620,316.98,-34.64,1
1640,320.4,-35.27,1
1660,323.78,-35.86,1
1680,327.23,-35.49,1
1700,330.78,-35.27,1
1720,334.05,-35.8,1
1740,337.43,-34.93,1
1760,340.7,-35.55,1
1780,344.13,-35.9,1
1800,347.68,-35.44,1
1820,351,-35.47,1
1840,354.04,-35.37,1
1860,357.49,-35.04,1
1880,360.91,-35.39,1
1900,364.34,-34.49,1
1920,367.72,-35.07,1
1940,370.57,-34.43,1
1960,373.97,-34.71,1
1980,377.78,-35.1,1
2000,381.49,-35.32,1
2020,384.6,-35.11,1
2040,388.47,-34.79,1
2060,391.47,-35.35,1
2080,395.05,-34.95,1
2100,398.38,-34.89,1
2120,401.53,-35.07,1
2140,405.18,-35.46,1
2160,408.51,-35.18,1
2180,411.73,-36.07,1
2200,414.83,-35.76,1
2220,418.06,-35.2,1
2240,421.46,-35.26,1
